ProvinceName,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.),Year
จันทบุรี,96326,0.344,54757,1759.15,2019
ตราด,86886,0.3103,49331,1761.29,2019
สุราษฎร์ธานี,37819,0.1351,26116,1448.12,2019
นราธิวาส,12185,0.0435,17564,693.75,2019
ระยอง,7877,0.0281,5108,1542.09,2019
นครศรีธรรมราช,7586,0.0271,12110,626.42,2019
เชียงราย,3777,0.0135,5986,630.97,2019
พังงา,2629,0.0094,3791,693.48,2019
น่าน,2424,0.0087,6803,356.31,2019
ศรีสะเกษ,2202,0.0079,1840,1196.74,2019
ชุมพร,2164,0.0077,2589,835.84,2019
สงขลา,1961,0.007,2603,753.36,2019
พัทลุง,1917,0.0068,3436,557.92,2019
ยะลา,1371,0.0049,2504,547.52,2019
ตรัง,1269,0.0045,1318,962.82,2019
เชียงใหม่,1082,0.0039,1598,677.1,2019
สตูล,1059,0.0038,1314,805.94,2019
บึงกาฬ,1027,0.0037,736,1395.38,2019
เลย,1018,0.0036,1994,510.53,2019
พิษณุโลก,961,0.0034,1320,728.03,2019
ปัตตานี,724,0.0026,1502,482.02,2019
กาญจนบุรี,633,0.0023,1332,475.23,2019
หนองคาย,629,0.0022,904,695.8,2019
อุบลราชธานี,574,0.0021,459,1250.54,2019
พะเยา,526,0.0019,631,833.6,2019
ประจวบคีรีขันธ์,513,0.0018,498,1030.12,2019
กระบี่,411,0.0015,858,479.02,2019
ปราจีนบุรี,390,0.0014,358,1089.39,2019
สุโขทัย,340,0.0012,779,436.46,2019
อุตรดิตถ์,291,0.001,1149,253.26,2019
ระนอง,277,0.001,408,678.92,2019
ภูเก็ต,237,0.0008,379,625.33,2019
เพชรบุรี,207,0.0007,387,534.88,2019
ราชบุรี,186,0.0007,474,392.41,2019
อุทัยธานี,101,0.0004,133,759.4,2019
เพชรบูรณ์,96,0.0003,88,1090.91,2019
นครนายก,85,0.0003,102,833.33,2019
แม่ฮ่องสอน,77,0.0003,129,596.9,2019
หนองบัวลำภู,53,0.0002,50,1060,2019
ยโสธร,45,0.0002,66,681.82,2019
ชลบุรี,25,0.0001,31,806.45,2019
นครราชสีมา,19,0.0001,74,256.76,2019
