,นครศรีธรรมราช,กระบี่,พังงา,ภูเก็ต,สุราษฎร์ธานี,ระนอง,ชุมพร,สงขลา ,สตูล,ตรัง ,พัทลุง,ปัตตานี ,ยะลา,นราธิวาส
location,"(8.296481173044892, 99.78329018178862)","(8.23172054078034, 98.97731156679664)","(8.615056013321578, 98.42286882717158)","(7.97395222866153, 98.34033744435013)","(8.928140414012539, 98.94522672220086)","(9.934629476268167, 98.63966193725061)","(10.39579869304647, 99.08198937303766)","(6.894582483375718, 100.58969163543715)","(6.887765382441354, 99.9606383912983)","(7.556154149938087, 99.57650576215633)","(7.519331964319986, 100.07768152642802)","(6.756006418059202, 101.31865723859552)","(6.147610834634966, 101.2572747987984)","(6.178263826663819, 101.71269458368498)"
color,blue,red,blue,red,blue,red,blue,red,blue,red,blue,red,blue,blue
