,code,geocode,name,lat,lng,prov_id,tambon_name,amphoe_name,province_name,basin,name_e,tambon_name_e,amphoe_name_e,province_name_e,wl_offset,station_type,left_bank,right_bank,ground_level,rid_critical_level
295,WEI022,302302.0,ท้ายฝายยางแก้งสนามนาง,15.7909,102.30473,30.0,โนนสำราญ,แก้งสนามนาง,นครราชสีมา,แม่น้ำชี,Yang Kaeng Sanam Nang Weir,Non Samran,Kaeng Sanam Nang,Nakhon Ratchasima,0.0,W,,,86.46164426877469,
296,WEI031,401807.0,เหนือฝายชนบท,16.07473,102.49362,40.0,โนนพะยอม,ชนบท,ขอนแก่น,แม่น้ำชี,Upper Chonnabot Weir,Non Phayom,Chonnabot,Khon Kaen,0.0,W,,,86.46164426877469,
297,WEI032,401807.0,ท้ายฝายชนบท,16.07473,102.49362,40.0,โนนพะยอม,ชนบท,ขอนแก่น,แม่น้ำชี,Chonnabot Weir,Non Phayom,Chonnabot,Khon Kaen,0.0,W,,,86.46164426877469,
298,WEI041,400701.0,เหนือฝายหนองหวาย,16.72653,102.80362,40.0,น้ำพอง,น้ำพอง,ขอนแก่น,แม่น้ำชี,Upper Nong Wai Weir,Nam Phong,Nam Phong,Khon Kaen,0.0,W,,,86.46164426877469,
299,WEI051,440308.0,เหนือฝายมหาสารคาม,16.36915,102.94787,44.0,หนองบัว,โกสุมพิสัย,มหาสารคาม,แม่น้ำชี,Upper Maha Sarakham Weir,Nong Bua,Kosum Phisai,Maha Sarakham,0.0,W,,,86.46164426877469,
300,WEI052,440308.0,ท้านฝายมหาสารคาม,16.36915,102.94787,44.0,หนองบัว,โกสุมพิสัย,มหาสารคาม,แม่น้ำชี,Maha Sarakham Weir,Nong Bua,Kosum Phisai,Maha Sarakham,0.0,W,,,86.46164426877469,
301,WEI061,461805.0,เหนือฝายวังยาง,16.2,103.47325,46.0,ลำชี,ฆ้องชัย,กาฬสินธุ์,แม่น้ำชี,Upper Wang Yang Weir,Lamchi,Khong Chai,Kalasin,0.0,W,,,86.46164426877469,
302,WEI062,461805.0,ท้ายฝายวังยาง,16.2,103.47325,46.0,ลำชี,ฆ้องชัย,กาฬสินธุ์,แม่น้ำชี,Wang Yang Weir,Lamchi,King Amphoe,Kalasin,0.0,W,,,86.46164426877469,
303,WEI071,451803.0,เหนือฝายร้อยเอ็ด,16.1725,103.78944,45.0,พระธาตุ,เชียงขวัญ,ร้อยเอ็ด,แม่น้ำชี,Upper Roi Et Weir,Phra That,Chiang Khwan,Roi Et,0.0,W,,,86.46164426877469,
304,WEI072,451803.0,ท้ายฝายร้อยเอ็ด,16.1725,103.78944,45.0,พระธาตุ,เชียงขวัญ,ร้อยเอ็ด,แม่น้ำชี,Roi Et Weir,Phra That,Chiang Khwan,Roi Et,0.0,W,,,86.46164426877469,
305,WEI081,450602.0,เหนือฝายยโสธร,15.7325616,104.1318016,45.0,แสนสุข,พนมไพร,ร้อยเอ็ด,แม่น้ำชี,Upper Yasotorn Weir,Saen Suk,Phanom Phrai,Roi Et,0.0,W,,,86.46164426877469,
306,WEI091,340417.0,เหนือฝายธาตุน้อย,15.31205,104.45617,34.0,สหธาตุ,เขื่องใน,อุบลราชธานี,แม่น้ำชี,Upper Tat Noi Weir,Saha Tat,Khueang Nai,Ubon Ratchathani,0.0,W,,,86.46164426877469,
307,WEI092,340417.0,ท้ายฝายธาตุน้อย,15.31205,104.45617,34.0,สหธาตุ,เขื่องใน,อุบลราชธานี,แม่น้ำชี,Tat Noi Weir,Saha Tat,Khueang Nai,Ubon Ratchathani,0.0,W,,,86.46164426877469,
308,WEI101,330306.0,เหนือฝายหัวนา,15.13304,104.70403,33.0,หนองแก้ว,กันทรารมย์,ศรีสะเกษ,แม่น้ำมูล,Upper Hua Na Weir,Nong Kaeo,Kanthararom,Si Sa Ket,0.0,W,,,86.46164426877469,
