code,geocode,name,lat,lng,prov_id,tambon_name,amphoe_name,province_name,basin,name_e,tambon_name_e,amphoe_name_e,province_name_e,wl_offset,station_type,left_bank,right_bank,ground_level,rid_critical_level
NAN001,550609,ท่าวังผา,19.09619388,100.8025958,55,ท่าวังผา,ท่าวังผา,น่าน,แม่น้ำน่าน,Nan 1,Tha Wang Pha,Tha Wang Pha,Nan,0,W,224.384,226.497,217.08,
NAN002,551405,ภูเพียง,18.85961282,100.8171894,55,เมืองจัง,ภูเพียง,น่าน,แม่น้ำน่าน,Nan 2,Mueang Chang,Phu Phiang,Nan,0,W,207.863,206.317,196.91,
NAN003,551406,เมืองน่าน,18.73804112,100.7562613,55,ท่าน้าว,ภูเพียง,น่าน,แม่น้ำน่าน,Nan 3,Tha Nao,Phu Phiang,Nan,0,W,195.218,198.194,187.61,
NAN004,530701,พิชัย,17.2944,100.08308,53,ในเมือง,พิชัย,อุตรดิตถ์,แม่น้ำน่าน,Nan 4,Nai Mueang,Phichai,Uttaradit,0,W,51.196,54.876,42.85,
NAN005,650808,แม่น้ำเข็ก (ว้งทอง),16.85493,100.66673,65,วังนกแอ่น,วังทอง,พิษณุโลก,แม่น้ำน่าน,Nan 5,Wang Nok Arn,Wang Thong,Phitsanulok,0,W,136.628,136.624,134.96,
NAN006,650503,บางกระทุ่ม,16.58053,100.23859,65,โคกสลุด,บางกระทุ่ม,พิษณุโลก,แม่น้ำน่าน,Nan 6,Khok Salut,Bang Krathum,Phitsanulok,0,W,40.044,40.406,30.36,
NAN007,660402,ตะพานหิน,16.27033,100.41396,66,งิ้วราย,ตะพานหิน,พิจิตร,แม่น้ำน่าน,Nan 7,Ngio Rai,Taphan Hin,Phichit,0,W,34.343,34.696,22.39,
NAN008,600304,ชุมแสง,15.86919,100.26479,60,เกยไชย,ชุมแสง,นครสวรรค์,แม่น้ำน่าน,Nan 8,Koei Chai,Chum Saeng,Nakhon Sawan,0,W,28.3,28.3,16.208,
NAN009,550706,เวียงสา,18.55018,100.76156,55,ส้าน,เวียงสา,น่าน,แม่น้ำน่าน,Wieng Sa,San,Wiang Sa,Nan,0,W,183.73,185.07,178.25,
NAN010,530402,น้ำปาด,17.790896,100.7490112,53,บ้านฝาย,น้ำปาด,อุตรดิตถ์,แม่น้ำน่าน,Nan 10,Ban Fai,Nam Pat,Uttaradit,0,W,162.292,158.351,152.744,
